date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,BRK.B,BBY,BIIB,BLK,HRB,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BF.B,CHRW,COG,CDNS,CPB,COF,CPRI,CAH,KMX,CCL,CAT,CBOE,CBRE,CBS,CE,CELG,CNC,CNP,CTL,CERN,CF,SCHW,CHTR,CVX,CMG,CB,CHD,CI,XEC,CINF,CTAS,CSCO,C,CFG,CTXS,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,CXO,COP,ED,STZ,COO,CPRT,GLW,CTVA,COST,COTY,CCI,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,XRAY,DVN,FANG,DLR,DFS,DISCA,DISCK,DISH,DG,DLTR,D,DOV,DOW,DD,DTE,DRE,DUK,DXC,ETFC,EMN,ETN,EBAY,ECL,EIX,EW,EA,EMR,ETR,EOG,EFX,EQIX,EQR,ESS,EL,EVRG,ES,RE,EXC,EXPE,EXPD,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FITB,FE,FRC,FISV
2015-01-02,145.9117,40.801,55.596000000000004,37.31,81.395,19.3884,72.34,2.69,157.4188,11.5275,206.4234,27.5486,38.9022,130.6335,63.25,56.0742,56.3248,78.6891,186.6,56.2,53.17100000000001,248.7824,277.0438,28.8159,64.3999,529.55,524.81,40.9365,308.52,39.8291,51.6157,52.0914,86.6383,51.2722,91.4685,49.0361,117.5765,84.0786,51.1143,141.9864,51.5381,78.4775,49.8839,81.64,117.53,89.6006,26.4825,57.9769,32.6385,101.1385,23.2177,,45.8814,34.0172,62.68,41.4547,61.2402,50.2438,26.8609,59.53,75.6402,616.79,145.2027,47.082,,32.8902,16.7451,37.2364,37.64,33.8404,131.1487,149.17,33.7017,342.01,318.2505,28.625,115.7103,1142.06,51.412,117.3336,13.22,53.2438,91.7187,42.1296,33.9745,66.501,29.2231,18.83,38.7335,75.5427,74.78,71.9411,66.47,40.0039,79.7573,59.8628,34.67,51.9708,54.9368,113.52,26.11,19.4009,26.0703,65.03,47.9937,28.9932,166.43,93.6102,678.4,104.1795,36.9451,102.6908,104.4304,45.2893,74.8856,24.085,51.0029,22.4944,50.0339,92.3524,76.3687,30.6297,36.6152,51.4651,62.2453,26.4187,42.6673,24.9522,100.7821,60.8987,56.1774,92.87899999999999,160.3826,18.29,20.6604,,125.3877,18.6886,67.2355,32.9613,128.1055,85.8467,23.6724,63.2498,50.9056,75.83,79.9597,45.1938,50.5866,57.7639,59.5675,56.1195,59.6223,34.48,33.44,72.27,67.0175,70.35,64.4477,52.3884,,69.1972,75.5292,17.102999999999998,69.2219,,23.8004,68.7164,58.1498,23.478,99.2648,57.2441,63.86,46.87,53.3433,71.6561,89.1726,76.9892,197.4123,54.8228,186.4461,71.4221,,46.455,152.3432,31.9994,82.3024,41.648,50.5872,77.6966,130.33,78.45,20.9552,119.9599,166.0748,58.8314,18.0826,32.3491,50.1973,35.31
2015-01-05,142.621,40.8101,54.5497,37.07,80.0207,19.1187,71.98,2.66,155.3438,11.1994,198.9387,26.826999999999998,38.1733,126.4566,61.94,55.2748,54.4569,79.6356,182.17,56.99,53.0648,246.4398,273.1896,28.4649,63.1233,519.46,513.87,40.7024,302.19,39.4307,51.5822,51.3247,84.34700000000001,50.2579,90.147,48.2815,113.8024,83.3629,49.5796,140.2992,50.5965,72.2882,48.9723,80.855,115.4691,88.7362,26.0191,54.4164,32.9227,98.2893,22.4736,,44.2939,32.0464,63.8,41.2077,59.8667,49.336000000000006,26.6071,58.66,75.5857,608.49,146.1835,46.5002,,32.1728,16.2587,36.2793,36.7056,32.7722,131.9551,147.0,32.8329,336.74,310.0161,28.1058,114.9089,1097.58,49.928000000000004,118.3973,13.81,52.4117,90.2525,41.5014,33.7897,63.5831,27.6211,18.4,38.1437,73.8027,73.0,71.5301,64.58,39.8109,75.5472,61.7713,33.92,51.4681,53.0687,111.93,26.04,18.7851,25.5171,64.17,47.8297,28.0242,160.5,89.8685,667.69,102.4772,36.5341,100.9232,98.3822,44.6399,73.5206,23.6052,49.3955,21.9675,48.9226,92.3702,76.8019,30.3769,36.6152,51.1427,61.7855,25.8799,41.1464,24.6806,95.8932,58.0004,55.6439,95.089,159.1443,18.11,20.3731,,123.9621,18.6337,66.8043,32.0695,123.7659,84.9982,23.1792,62.6226,50.531000000000006,74.7,78.2489,44.4402,50.2359,55.6224,56.9335,57.2011,58.2905,33.06,32.13,70.44,66.5819,69.62,63.6659,50.5616,,67.3291,74.7914,17.0863,68.2253,,23.0272,66.3444,55.7444,23.2796,97.0475,57.1043,63.89,46.57,52.2469,71.1169,83.7975,76.3454,195.3828,55.3082,187.1906,70.5622,,46.0401,151.52200000000002,31.0881,80.8053,40.3541,51.7029,75.5707,129.76,77.19,20.5949,121.586,163.5228,57.8133,17.5368,31.4826,48.6942,34.91
2015-01-06,141.1002,40.3466,54.2797,36.13,79.4435,18.7624,70.53,2.63,155.2346,10.9469,194.6519,26.5879,37.5786,126.4117,60.67,54.6242,53.3923,80.0387,177.95,57.45,52.9778,244.9805,269.7141,28.3739,63.0773,506.64,501.96,40.9449,295.29,38.9717,50.7828,51.6059,82.5495,49.5452,89.9084,48.4088,110.7404,83.8183,48.6276,135.7791,49.9528,71.7541,47.8271,79.26,117.0429,88.2043,25.8064,53.826,33.1898,98.2985,21.6271,,43.4207,32.2821,63.81,41.1282,59.0353,49.0304,26.6468,57.5,74.9545,607.82,148.1714,46.9638,,31.6287,15.7722,35.2301,36.5105,32.1331,131.7019,146.84,32.5375,334.65,305.1986,27.9327,113.5555,1079.96,49.5805,120.6947,13.7,52.3222,88.1999,41.8155,33.6049,62.7545,27.2328,17.91,37.8884,72.429,66.87,70.7616,63.77,40.1968,75.0611,62.4137,33.66,50.4532,52.2628,110.51,26.125,18.3664,25.201,63.52,48.8193,26.9976,156.31,89.8269,664.38,101.57600000000001,36.2304,101.3227,96.6528,44.2977,73.3774,23.5965,47.6566,21.7222,47.5512,92.7614,75.6279,30.4292,36.8932,49.8138,61.1363,25.5423,39.9113,24.4368,93.9676,55.6058,55.9572,95.6987,156.8975,17.905,20.0229,,125.6002,18.4965,66.6774,30.7915,124.4571,85.0614,22.8663,62.1947,50.7052,73.62,77.5972,43.3926,49.6125,54.4853,57.0229,57.0237,56.9222,31.98,31.12,68.67,65.7393,68.67,63.3416,50.3214,,66.5499,74.6785,17.3122,69.3454,,22.3928,66.0658,55.1195,22.980999999999998,94.145,57.3228,63.51,45.96,52.1605,70.9862,81.4096,75.7395,191.1236,55.6219,189.8852,69.9103,,46.066,152.4785,30.8496,80.7765,39.8947,52.8273,75.1689,126.73,76.15,20.2434,123.1768,163.5132,57.7379,16.83,31.6476,47.3646,34.945
2015-01-07,142.123,40.6738,56.4735,37.28,81.111,18.352999999999998,71.11,2.58,158.5704,10.9638,199.4291,26.7548,38.0773,127.7771,60.16,55.4607,53.1775,81.1254,187.93,59.57,53.7022,254.6388,271.7819,28.8419,64.1152,505.15,501.1,41.6972,298.42,39.2748,50.754,52.3385,84.3524,49.7828,90.8536,49.027,112.7075,85.4914,48.7733,140.5212,50.8079,72.8985,48.3301,79.71,117.6237,89.2112,25.9955,53.2265,33.5257,99.6769,21.8271,,44.0734,33.1175,65.14,41.5253,59.2703,49.7315,26.6789,57.38,75.6129,607.24,149.8878,47.4275,,31.908,15.8471,35.9572,36.685,32.5621,134.787,148.88,33.4758,353.24,311.6577,28.175,115.3185,1069.57,50.7451,122.0445,14.03,53.0022,90.5824,42.4992,34.1785,62.7815,27.4658,18.42,39.561,73.2532,68.71,73.2993,64.78,40.3459,76.2243,63.4719,34.01,50.3773,52.9038,114.55,26.2675,18.6045,25.3327,64.19,50.2112,27.5253,156.79,89.7521,694.26,103.0234,36.6368,103.6995,95.8321,44.9032,72.9908,23.8145,48.0984,21.8039,48.2605,94.353,76.5073,30.9261,37.3537,51.4456,61.6232,25.5192,40.2984,25.0149,91.7825,55.9769,56.7871,98.1659,161.9903,17.96,20.3103,,127.7872,18.5605,68.0727,31.195999999999998,125.052,86.5959,24.0423,62.571000000000005,52.9484,74.29,77.2623,43.1629,50.8984,54.7411,57.8976,57.48,57.7705,32.21,31.32,68.46,66.5346,70.83,63.5994,50.7363,,67.883,75.5639,17.6636,69.5678,,22.7496,65.6435,55.2822,22.9413,95.5249,58.284,65.0,46.81,52.0483,71.7052,80.8972,77.0176,191.7508,56.4434,192.7481,70.2315,,46.7403,153.5073,30.8922,80.7765,39.9041,53.5911,75.9306,128.35,76.15,20.1108,125.7573,164.717,58.69,17.0179,31.9117,47.8657,35.42
2015-01-08,145.5293,41.5098,57.0642,38.96,82.3478,18.5408,72.915,2.61,159.9603,11.132,201.4597,27.0164,39.2187,130.7324,61.57,56.4181,54.8492,82.0544,183.8,61.44,54.4266,258.2198,279.5291,29.2968,65.3458,506.91,502.68,42.3994,300.46,39.4134,51.3764,52.79,85.5481,49.5635,91.6979,49.2179,114.7103,85.6865,49.9778,140.015,51.7975,75.2541,49.1834,81.655,123.2351,90.522,26.6716,55.2883,33.8875,103.5067,22.5247,,43.4295,34.0601,66.12,42.2489,60.1559,50.06399999999999,26.9444,58.8,77.3475,606.0,151.2802,48.8366,,32.4569,16.1745,36.4541,37.6349,33.1049,137.2438,151.37,33.9797,350.25,315.2976,28.6682,117.3576,1082.85,51.6092,122.5361,14.59,54.3264,95.1092,43.1367,34.7021,65.6004,28.0192,18.61,40.3606,73.9675,70.0,75.5601,66.09,40.9423,77.0055,62.8247,34.75,50.9749,53.957,115.05,26.6725,19.0478,25.5895,65.6,50.9089,28.2448,162.94,91.8059,719.99,104.6893,37.3609,108.9823,98.2259,45.8597,74.1984,23.9977,48.8221,21.9675,48.4812,95.411,76.8626,31.0917,37.8056,52.6475,62.4616,26.0742,41.1464,25.5583,96.1825,57.3731,57.1427,102.5384,162.6493,18.145,20.9657,,128.8852,18.715999999999998,69.1466,31.6925,127.5805,88.4374,24.5924,63.5376,53.7842,75.77,78.2852,44.284,52.155,56.6836,60.7155,58.2321,58.701,32.47,31.43,70.215,65.815,71.11,64.3479,51.7698,,69.967,75.9111,17.9565,69.8478,,23.3741,67.6741,57.2596,23.5616,97.6565,58.6073,66.575,48.125,53.4123,72.13,83.9908,78.6649,194.0415,57.0782,193.989,71.2425,,46.8181,157.8839,31.1307,84.3465,40.9917,54.3979,77.1944,129.65,78.175,20.5661,125.2094,168.5691,59.5195,17.4026,32.2005,48.781000000000006,36.14
2015-01-09,143.7417,41.0736,55.5032,38.41,82.2562,18.2037,71.84,2.63,159.1462,10.8544,201.4303,26.4436,38.931,128.7742,60.78,55.5165,55.12,81.8178,184.27,62.58,53.9727,257.95099999999996,282.2668,28.8809,64.6754,500.72,496.17,42.2991,296.93,38.9717,49.8062,52.5088,84.4645,48.7228,91.2299,49.3633,113.6511,86.4394,49.531000000000006,138.2923,51.4997,75.4734,49.1474,80.76,121.5957,90.0281,26.2461,55.1248,34.0684,103.6177,22.548000000000002,,43.0591,34.5099,66.42,41.6753,59.948,49.6596,26.8639,58.27,76.7935,606.02,151.7444,48.2002,,31.8165,15.8845,35.9203,37.1625,32.2469,135.6215,149.47,33.0675,342.34,311.5595,28.8326,117.1261,1051.96,50.2661,123.1529,14.65,53.9685,96.1218,43.1551,34.2979,64.898,29.1745,18.55,40.2453,72.6854,69.26,74.9167,65.04,40.6091,76.0854,62.357,34.65,51.7527,53.3068,113.67,26.4675,18.6455,25.2866,64.95,51.3234,27.295,161.98,89.9766,714.27,103.2055,37.2394,107.8538,98.734,45.3595,73.6161,24.241999999999997,47.7318,21.704,48.1659,94.7975,76.9319,30.7517,37.3885,52.8771,61.8486,26.0325,39.3122,25.2448,99.1957,57.3642,56.8464,102.2526,161.6308,18.06,20.9298,,126.9018,18.1672,69.0198,31.6281,125.6382,88.3923,24.7157,63.1096,52.6845,75.22,77.5248,43.0802,51.3952,57.2427,61.4659,57.6152,57.7614,32.03,31.17,71.79,64.4989,69.46,63.6243,50.6853,,69.0001,75.3469,17.8143,69.9466,,22.8834,66.8834,56.5491,23.2358,96.4289,58.8782,66.58,47.51,52.5749,71.7215,84.5515,78.3335,188.9113,57.5038,195.549,70.7701,,46.2303,154.8518,31.0795,84.0202,40.7479,54.1919,77.0856,129.89,77.74,20.3318,125.3243,166.2771,59.3216,16.9373,32.1593,47.9138,36.035
2015-01-12,142.959,41.4189,55.4863,38.56,82.0089,18.1652,71.12,2.63,157.7861,10.8375,197.7517,26.2903,38.4706,127.8849,60.75,56.3344,55.7551,82.3524,183.36,63.17,53.1131,261.4072,282.85900000000004,28.8029,64.0141,497.06,492.55,42.5666,291.41,38.8158,47.47,52.4407,83.6051,47.8456,90.8352,49.2088,112.4939,84.5154,48.2973,138.7274,50.8752,71.5729,48.6534,79.92,120.68700000000001,88.7552,26.3501,53.0993,34.7231,101.0645,22.0085,,42.521,34.6384,66.07,41.543,59.6589,49.7404,26.9363,57.29,76.4166,597.36,153.0579,48.5366,,31.6768,15.6038,35.405,37.3371,31.9492,134.6182,148.28,33.9624,347.84,309.5076,28.5038,116.5295,1039.98,48.9512,123.6624,14.58,55.6326,94.5319,43.1274,34.4788,65.6545,28.5046,18.36,40.3783,72.4016,69.33,73.9963,64.35,40.6003,75.4256,62.4893,34.5,52.0277,52.9954,117.0,26.1975,18.6866,25.4513,64.79,51.3994,27.0264,163.85,88.0392,711.7,101.9583,37.132,106.0363,93.917,45.0962,73.1483,24.4688,47.3558,21.6949,48.1975,94.5663,75.9095,30.6558,37.0496,52.9113,61.542,25.9771,38.9343,24.8547,94.8655,55.7295,56.6516,101.9001,160.8818,17.815,20.9029,,126.1934,17.6732,68.9352,31.1776,124.7283,87.7424,24.7346,62.3275,52.6406,74.42,77.3438,42.3267,50.9081,56.0298,59.1102,58.156000000000006,57.4877,31.64,30.88,71.28,63.5426,69.43,63.6243,50.0303,,69.8544,75.2861,17.8979,70.0125,,22.5167,65.2123,56.0526,23.0562,95.8865,58.4412,67.645,47.06,51.9447,71.1088,81.6996,78.2199,188.9026,58.1685,196.8076,70.1654,,46.1006,153.1463,31.1988,81.7362,40.8886,54.9644,75.6042,127.92,76.72,20.1859,126.0666,166.1904,59.133,16.6779,31.7384,47.2876,35.985
2015-01-13,142.8523,40.751999999999995,53.8881,38.81,82.302,17.8763,70.59,2.66,152.6533,10.9553,197.3397,26.1595,37.9335,127.2112,60.79,57.078,56.9599,82.624,179.21,62.65,53.2193,259.1223,279.1602,29.0022,64.3999,501.8,496.18,42.901,294.74,39.1535,48.2551,52.7048,83.3528,47.3978,89.8258,49.3179,113.3128,85.1753,48.2973,137.7683,50.7599,72.2882,48.0966,80.63,122.0454,89.1257,26.2366,53.0993,33.474000000000004,101.9618,21.7015,,42.5828,33.8458,65.27,41.7459,59.6589,49.9831,26.9363,57.34,76.2668,588.95,152.9003,48.5093,,31.5228,15.3887,35.3405,36.952,31.8967,132.8928,148.63,33.9711,352.74,310.4444,28.1923,116.7966,1037.82,48.3126,123.3942,14.5,56.4736,94.0004,43.2198,34.3903,66.2939,28.7959,18.43,40.3606,71.788,68.42,73.7193,64.27,40.3108,74.9743,61.7618,34.09,52.7391,52.1895,119.98,26.68,18.588,25.4183,65.27,51.6792,27.0456,164.4,86.6423,714.06,102.1131,37.2161,106.6854,94.8061,45.0699,73.9884,24.508000000000003,47.0174,21.6858,46.4083,94.9398,75.4936,31.1091,37.0409,52.9113,61.9658,26.2869,38.5195,24.9522,96.7612,55.1729,56.5415,101.2619,160.8918,17.76,20.7861,,124.9273,17.3988,68.7746,30.8466,123.6609,87.7785,23.5396,61.9659,52.1215,74.54,77.7421,42.8321,50.7522,55.8024,60.8695,58.9757,56.9587,31.21,30.33,71.765,64.1959,68.0,63.5744,50.3287,,68.6621,75.7115,17.7808,70.3914,,22.7893,64.4575,56.0355,23.0269,96.9904,58.1092,66.81,46.42,51.867,70.2918,82.2313,78.7217,189.2248,57.571000000000005,197.1622,70.411,,46.4031,152.5597,31.0966,81.5922,41.0058,55.0245,75.328,128.67,76.45,20.2832,125.395,165.16,59.265,16.5615,31.8787,46.6035,36.11
2015-01-14,142.1586,40.4506,54.1516,38.25,81.34,18.2326,69.99,2.63,149.7444,11.0563,194.2693,25.9565,37.4635,125.6931,59.71,57.1988,55.586999999999996,83.1148,175.4,61.06,53.4414,255.7812,273.1605,29.5352,63.7661,505.93,500.87,43.2437,293.27,39.5173,47.3072,53.4629,81.3351,46.9501,89.2568,50.1906,111.2388,85.6029,47.6951,137.7861,50.3947,73.7664,48.0607,80.72,123.4787,88.9927,26.1704,54.0712,33.9478,101.5733,21.4132,,41.8507,32.025,65.06,41.4547,59.207,51.3583,26.8076,56.41,76.0443,582.78,154.8707,48.6639,,31.5372,15.0051,34.4478,36.8288,31.2225,132.0395,147.82,34.6748,348.75,308.4549,28.1837,116.0932,1035.67,48.585,124.8424,14.5,56.3215,94.7427,42.8595,34.3171,65.7175,28.6502,18.255,40.4049,70.2861,66.52,73.2279,63.42,39.8898,74.7138,61.4311,33.76,51.6673,50.9075,121.1,26.6625,18.5716,25.2274,64.68,49.9695,26.1245,158.13,86.3928,709.74,100.0011,37.4496,107.2946,93.70200000000001,44.6838,74.0456,24.3554,46.1056,21.2952,45.3442,95.0909,73.6567,31.3532,36.9801,53.1653,61.7133,25.8152,38.1692,24.7363,100.4329,55.3319,57.1512,103.2909,160.4225,17.665,20.8759,,123.3512,17.2982,69.0452,30.9386,124.5883,87.8597,23.8431,61.2576,52.1479,74.69,78.2761,41.6375,50.0119,55.4328,64.905,60.0151,55.7545,30.0,29.17,70.44,64.0539,67.37,63.5828,50.0594,,68.4838,76.5275,18.0569,70.5725,,22.2887,63.595,54.9911,22.5675,96.4289,59.0005,65.835,46.9,51.4699,71.1986,84.9896,78.5608,190.6446,58.3104,199.8213,70.0331,,46.8094,150.6918,31.4458,81.9473,40.7854,55.5995,75.1104,125.6,76.28,19.8632,126.4731,166.3637,58.6523,16.2931,32.6379,46.0158,35.895
2015-01-15,141.9985,40.1491,53.463,37.11,80.7811,17.8666,70.29,2.52,146.9546,11.0227,190.6692,25.8708,36.4564,125.2709,58.63,57.1337,54.2421,83.4741,172.87,59.63,51.9637,253.2179,271.4907,29.6045,63.5825,504.01,501.79,43.8623,286.95,39.881,47.3072,53.8037,80.2235,46.0546,88.3574,50.227,109.3607,84.9523,46.9471,134.9089,49.8951,71.983,47.3601,80.83,125.6145,88.8597,25.6409,54.4981,33.9823,98.8166,21.6969,,41.638999999999996,32.0679,63.21,41.2077,58.4299,51.5111,26.7513,55.71,76.0125,575.28,155.4399,47.6275,,31.2772,14.2193,34.2822,36.7004,31.0824,131.9082,147.58,29.8007,339.88,305.5109,27.7423,115.8795,998.25,47.3922,125.1195,14.31,55.1405,92.8458,42.4437,34.167,65.3032,27.9415,17.73,40.857,70.4693,66.01,72.2449,62.23,39.6179,73.7949,61.4689,33.24,50.7946,50.998999999999995,118.27,26.7225,18.6045,25.2208,64.07,49.8658,25.5873,160.49,85.3701,700.78,99.9737,37.7533,106.7154,89.7839,44.675,74.1315,23.9105,44.3949,20.8591,44.9107,95.4821,73.5354,31.5362,36.8237,52.6084,61.5961,25.8984,37.7544,25.3145,100.2833,54.2627,57.8964,103.0528,159.4639,17.505,20.6694,,123.3512,17.3165,69.0283,31.3615,123.8184,87.7153,21.9842,60.5271,51.7081,74.46,78.9278,41.3985,49.2813,54.8264,63.0662,60.4461,54.8241,29.47,28.46,70.19,62.3685,66.41,64.1816,49.9211,,68.6715,77.2306,18.0987,71.4538,,21.5799,62.7145,54.8456,22.1435,95.8104,59.2889,64.295,46.64,51.2627,72.2934,83.8175,78.2862,190.06099999999998,58.6464,201.4433,69.6457,,47.622,151.5581,31.7439,79.2026,40.4854,56.1488,74.4575,124.22,74.05,19.4476,126.3582,167.4231,58.7277,16.1231,32.9515,45.8809,35.86
2015-01-16,144.0796,40.6424,54.8657,37.92,81.4408,19.504,71.73,2.39,148.9204,11.2498,191.6698,26.2407,36.6866,125.4955,59.22,57.9517,54.6531,84.7448,180.44,56.92,51.5483,257.9318,281.1018,30.1591,65.0611,510.455,508.08,44.3472,290.74,40.3054,47.6902,54.1529,80.373,46.7033,89.4036,50.6451,110.9629,85.9003,47.1705,140.6899,50.3659,74.8154,48.2223,82.69,127.4132,90.7689,25.8442,56.5418,34.6542,98.0488,21.8318,,42.0536,32.7319,64.54,40.7488,58.8998,52.5537,27.1857,56.85,76.8026,580.85,156.8235,47.9275,,31.2339,14.3877,34.4754,36.9726,31.5377,131.6363,149.21,30.4002,352.75,310.5247,28.4432,116.4494,1008.22,47.7115,126.1206,14.46,55.7489,95.1367,43.2013,34.4326,66.1498,28.1939,18.33,41.2647,70.1945,67.01,73.5049,63.51,39.8723,73.3923,62.82,33.09,52.7012,51.7042,121.81,27.0725,18.8836,25.2866,65.59,51.4011,25.8079,161.11,87.4072,711.11,101.7307,38.4633,107.744,96.6821,45.4122,75.3438,24.146,44.751999999999995,21.0681,46.0142,96.9847,73.6827,31.9372,36.954,53.776,62.3625,26.2545,38.2245,25.2378,104.7631,55.7384,58.5146,106.3107,159.5238,17.505,20.8041,,123.7142,17.1152,69.8739,32.0511,123.2409,89.1325,22.5343,60.9034,51.9896,75.05,79.0183,42.1245,49.4469,57.5175,65.233,60.9278,54.8879,29.415,28.54,71.85,64.0349,66.71,64.6723,50.6344,,69.7042,78.09,18.4167,71.9397,,21.9764,63.8555,55.2907,22.4129,97.2663,59.4199,64.58,48.085,52.1001,72.4404,87.479,78.8827,191.8291,59.2887,202.24099999999999,70.1276,,48.0196,154.0397,31.8376,80.1143,40.6636,57.2474,76.2654,126.29,75.18,20.0047,127.4718,170.2255,59.6609,16.3736,33.7685,46.6324,36.52
2015-01-20,144.0263,40.3958,53.9391,37.87,81.1934,19.4751,71.49,2.24,151.5612,11.0142,194.0241,26.164,36.3797,126.9956,59.65,60.0429,53.9806,83.7195,183.06,56.24,50.9881,258.2678,284.723,30.1461,64.6203,509.94,506.9,44.9992,289.44,40.0629,50.5051,54.1189,81.5126,46.283,89.1375,51.036,111.40799999999999,85.9189,47.0734,139.9529,50.2987,74.1669,48.851000000000006,82.5,128.4624,89.9236,25.7733,54.8638,34.1632,100.5742,21.9806,,41.6302,33.3103,65.47,40.2194,58.2401,52.32899999999999,27.3063,57.1,77.1659,584.33,153.7498,48.7275,,31.1905,14.2755,34.273,36.8699,31.31,131.5425,148.63,29.5748,363.28,309.2043,28.2183,116.8411,1024.95,49.5523,125.6111,14.33,55.8742,96.0989,42.9611,35.0524,65.6274,27.9803,18.14,41.6105,70.8722,67.01,73.0402,62.81,39.8021,73.4886,62.2531,32.95,52.6158,51.6218,123.25,26.86,18.7933,25.5105,64.97,52.3821,25.664,156.13,88.5298,705.78,100.5655,38.5334,108.3132,96.3597,45.0699,75.2102,24.4862,44.4231,20.9863,46.4792,96.55799999999999,74.1246,32.0592,37.5014,54.3281,62.1731,25.8106,37.2475,25.2657,105.4316,55.8356,59.2682,105.7391,159.7934,17.5,20.7861,,123.4131,17.1244,69.3496,31.7569,124.2646,89.1144,21.7661,61.2207,52.1215,75.21,78.8644,45.1846,48.9988,56.5131,62.43,61.5024,55.5265,29.25,28.225,70.68,63.7604,67.25,65.1796,51.0419,,69.8075,78.1941,18.2075,72.2197,,22.2986,62.7684,55.4705,22.4213,97.5994,59.5685,64.23,47.81,52.2123,72.4649,86.5297,79.1477,193.7105,58.2357,200.4151,70.4205,,47.8554,152.659,31.7269,80.5557,40.8323,56.8869,76.2403,126.25,76.24,20.070999999999998,126.5173,172.5079,59.6609,16.1768,33.8015,46.3434,36.575
2015-01-21,144.5599,40.2496,53.3015,37.81,80.9369,19.3595,71.54,2.45,152.2463,11.1068,198.5757,26.2046,36.6003,128.5406,60.265,60.3961,54.7371,84.0963,179.26,55.9,51.1137,264.7579,286.3151,30.3628,64.5652,520.39,518.04,45.367,297.25,40.2361,51.3859,54.6385,81.8956,46.4475,88.7887,51.4179,112.4583,86.2349,47.7436,139.7575,51.8168,76.9993,49.0217,82.95,130.8512,89.8096,25.8253,56.8336,34.3613,101.34200000000001,22.6224,,42.0712,34.1029,64.28,40.0076,58.701,52.6796,27.3465,57.55,76.7935,586.06,154.9495,48.2729,,31.4698,14.4158,34.5583,36.6388,31.205,133.9524,147.18,29.6269,361.825,311.8004,28.599,117.9007,1045.53,50.2661,125.6111,14.39,55.4268,96.5662,43.0073,35.3258,65.5824,28.1745,18.335,41.7612,70.7074,68.5,73.2189,63.01,40.0214,74.7138,60.3824,32.64,53.2988,53.1602,122.22,27.3425,19.0068,25.4381,65.56,52.2008,25.6161,155.75,89.935,703.89,100.6292,38.4399,109.98100000000001,100.4634,44.9734,75.8402,24.2856,44.8742,21.1498,46.3689,96.7536,74.1246,32.4427,37.6752,54.0105,61.9465,25.7921,37.607,25.2448,108.2453,57.0284,59.6578,105.2914,162.49,17.83,20.9118,,123.2006,17.1792,68.7999,31.904,126.6269,90.1381,22.2024,61.4347,52.4646,75.73,79.317,45.1938,48.8429,58.3703,68.1254,61.3419,55.4991,29.455,28.4,71.875,63.6373,67.81,65.9281,52.1846,,69.6385,78.8799,18.2577,73.035,,21.8277,64.0173,56.3436,22.296,98.9698,59.8219,64.44,48.07,52.644,73.2656,87.7018,79.9146,194.5989,58.049,200.167,69.9008,,48.2012,152.9929,32.3571,80.6901,40.7573,56.7668,76.8931,125.95,76.74,20.2788,126.48200000000001,172.0842,59.133,15.6847,34.0821,47.0563,36.2075
